sub-num	Reward_VLPFC	Reward_TPJ	Punish_VLPFC	Punish_VLPFC
189.000000	-0.540530	-0.591886	-0.474141	-0.508714
207.000000	-0.092545	-0.101796	-0.360134	0.074732
208.000000	-0.144235	-0.180788	-0.129797	-0.135949
209.000000	0.408545	0.070682	-0.281505	-0.646467
210.000000	-0.037010	-0.066606	-0.167288	0.057045
211.000000	-0.062623	0.053922	-0.073953	0.055513
213.000000	-0.223485	-0.090553	0.098219	-0.458147
214.000000	-0.142578	-0.204051	0.060610	-0.006473
215.000000	-0.139813	0.127972	-0.168303	0.006755
216.000000	-0.202569	0.170982	-0.297300	0.048445
217.000000	0.109793	0.151476	0.155042	0.042100
219.000000	-0.033327	0.311790	-0.153866	-0.181082
220.000000	-0.070557	0.128502	-0.037259	-0.120813
221.000000	0.199353	0.197295	-0.017696	0.003746
222.000000	-0.059459	-0.125266	0.024114	-0.141230
225.000000	0.061076	-0.316445	-0.421154	-0.299374
226.000000	-0.171418	-0.287870	-0.265208	-0.162192
227.000000	-0.176944	-0.217082	-0.097053	-0.046850
228.000000	-0.229107	-0.328253	-0.324543	-0.249342
230.000000	0.023142	-0.057964	-0.067544	0.028854
231.000000	-0.059917	0.030230	0.033586	-0.279567
233.000000	-0.181549	-0.043142	0.049263	0.059914
234.000000	-0.162517	0.125430	-0.120907	0.149458
235.000000	0.092120	-0.008732	-0.192004	0.056478
236.000000	-0.389968	-0.186571	0.071258	-0.135758
237.000000	-0.067983	0.158454	-0.060229	0.034245
238.000000	-0.331396	-0.225306	-0.077624	-0.239531
