sub-num	Reward_VLPFC	Reward_TPJ	Punish_VLPFC	Punish_VLPFC
189.000000	51.490192	44.897071	30.605856	14.690825
207.000000	-21.871100	11.682666	-15.373977	17.235056
208.000000	-13.523443	-12.415732	-28.196898	-13.877679
209.000000	-21.362050	-57.025261	-23.309552	3.307672
210.000000	-22.200680	-28.831312	-14.028676	-15.012740
211.000000	-21.565902	-23.584580	11.240301	5.394393
213.000000	-13.108194	3.852433	-4.621646	5.105842
214.000000	-21.309318	-40.969625	4.318906	-11.248446
215.000000	-33.278707	-20.987250	-26.949775	-25.774285
216.000000	-3.977113	-11.035370	25.375616	15.117200
217.000000	-16.119988	-4.806009	-13.148229	-20.985163
219.000000	-1.780052	-3.764298	-3.657218	13.872825
220.000000	-14.570870	0.062653	-40.518174	-50.872048
221.000000	-14.167281	15.481358	-22.099477	0.118189
222.000000	-24.184474	-26.331914	-12.406345	-36.182643
225.000000	-16.488915	-41.077466	-28.831369	-40.149541
226.000000	-28.780697	-38.711111	-41.259273	-33.182294
227.000000	-44.639216	-0.866212	-39.457231	-27.194108
228.000000	-90.833376	-67.193506	-78.621744	-71.090836
230.000000	-20.964160	-25.282274	-22.854758	-21.517915
231.000000	-14.275583	-15.825655	-12.465062	2.775300
233.000000	-14.773437	-13.722721	-3.558095	-26.085027
234.000000	-50.111556	-47.950987	-44.152356	-53.282823
235.000000	29.408792	30.119617	-35.419823	2.582339
236.000000	-25.719840	4.042601	-10.196186	-3.106549
237.000000	8.637879	-30.331452	-5.705575	30.553189
238.000000	-4.685396	-26.826455	-2.923055	6.572001
